"Row-names","Symbol","CONTROL-EIDD___log2FoldChange","CONTROL-EIDD___padj","data","EIDD_1","EIDD_2","EIDD_3","EIDD_4","CONTROL_1","CONTROL_2","CONTROL_3","CONTROL_4"
"ENSMAUG00000020244","Pvrig",0.950097897391809,0.124358674198471," ",4.06655486142558,4.43088250029264,3.77005546774729,3.29704826991866,4.15825785250989,4.71270080223404,4.9166497499074,5.02368789144154
"ENSMAUG00000020245","Synpo2l",-0.555867735977269,0.322673095850325," ",5.22132750066165,4.81543579295888,5.14317784098197,5.43782418968231,5.27193171981266,4.23378116106519,4.78292142075381,4.00632311007012
"ENSMAUG00000020246","Lbhd2",0.313038134953971,0.657827370587461," ",4.34330662674147,4.0070732338862,4.59029795584902,4.42539713872366,5.04856500136489,4.84252683768792,4.60414118314178,3.67563361210672
"ENSMAUG00000020247","Trim66",-1.22598200738291,0.204885500938807," ",4.61767336846737,4.35550044378589,4.93155909210549,3.49649825338787,2,3.51188582432335,4.24591387866473,3.40378427043871
"ENSMAUG00000020248","Rsph14",-1.16479927888748,0.185620672432455," ",3.56009999041411,4.05551379097823,4.07526823067219,4.21510091748266,3.25429290162893,2,3.65033781391316,3.06853195473179
"ENSMAUG00000020250","Gpr107",0.133640542141816,0.567032082645347," ",9.7647893988584,9.91326592082442,10.1862872515415,9.74475332416283,10.1248426259054,9.86859273493389,10.1867527655446,9.97731969624293
"ENSMAUG00000020251","Prnp",-0.189593340061168,0.465822802914468," ",11.9360831338523,11.6580960003171,11.4690978825866,11.9756632491575,11.3726987707762,11.3695635644262,11.6619628437031,11.868938325995
"ENSMAUG00000020252","Kmt2b",-0.184009012267289,0.619440526573847," ",9.6357977217871,9.51138955326439,10.4592409221012,9.39420668297095,9.75091754553669,9.43645997880428,9.77512683759887,9.53834209966393
"ENSMAUG00000020253","Ptcd2",0.310101595126257,0.287242706116363," ",6.57612532899676,6.31770198360586,6.26910194536925,6.36967295221639,6.55547308498081,6.99384471192857,6.6398607767196,6.58756066195991
"ENSMAUG00000020254","Snx20",1.09401595349796,3.02636745091669e-05," ",6.39361549092773,6.84428334622583,6.93218951965242,6.2642137915572,7.96135624573585,7.61904521733166,7.55838169921173,7.67811105641497
"ENSMAUG00000020255","Serinc4",-0.673088394789012,0.0573661771550943," ",7.72539821212839,7.88074811130175,7.93229456413231,7.82629548339415,7.02326292582763,6.28675234214602,7.78166267873905,7.15238184116916
"ENSMAUG00000020257","Ilrun",0.575773460466688,0.00834429019355538," ",9.78810346432716,9.79342059789825,10.2806412168804,9.88030744248708,10.5510758460921,10.6694772193686,10.1973051933692,10.6404072638873
"ENSMAUG00000020258","Trpa1",0.306466364014703,0.811692049316285," ",3.27337712788142,3.67631971199982,3.48954448815989,3.29704826991866,3.62211181757631,4.84252683768792,2.61802043359084,2.86629366690415
"ENSMAUG00000020259","Eif3b",0.845251855526744,8.05826549269815e-05," ",10.6677957074092,10.4899118303073,10.7349859387368,10.8772426798877,11.5411248475673,11.6698926950952,11.0869040892205,11.7826031348241
"ENSMAUG00000020260","",0.813083680588441,0.00930962227558385," ",10.6765672704298,10.3384769001439,9.86559684194108,10.5144314347025,10.9439999445972,11.6243577129751,10.5800344326167,11.3976034643378
"ENSMAUG00000020262","Arpc5l",0.413486794989525,0.218436627828623," ",7.36509636592576,6.73698926694989,7.05060077342581,7.65954528584815,7.64919354810819,7.94234967378589,7.28423709332519,7.64685650882257
"ENSMAUG00000020263","Unc45a",-0.0957823221673735,0.691654063390067," ",9.51384249884252,9.22676716505289,9.57165898555757,9.1459343957242,9.34657897085429,9.35720593011747,9.28740177358687,9.13577275908806
"ENSMAUG00000020264","Gaa",-0.299732284540463,0.111267621892202," ",9.73870112781687,9.57611972917089,9.86061763910018,9.412832580247,9.34964601025152,9.38943186052581,9.28493030419947,9.42084898107391
"ENSMAUG00000020265","Pwp2",0.885050010118881,0.00872967497362296," ",6.7381178433817,6.9633165850548,6.8937096935399,6.55994882117744,7.75476598642756,7.8527310490341,6.82816703116151,8.00213186567011
"ENSMAUG00000020266","Lonrf3",-0.462319499095526,0.0712119303097355," ",9.15172970332388,8.76846819513088,8.99048333367455,9.60596148100749,8.80081948533454,8.61341692289981,8.71257723299218,8.66004517357823
"ENSMAUG00000020267","Col4a2",-0.446484239651668,0.0802453999137516," ",12.3972940971918,12.7618365099825,13.1111270651605,12.4545509506765,12.1772876934887,11.9680953178537,12.4578974873042,12.3988805291321
"ENSMAUG00000020268","Ptprc",0.990974124398258,2.53182428179063e-06," ",11.2670068880321,11.317437170307,10.9306057167552,11.0085606034519,12.2459726011119,12.1381566414925,11.6960791541525,12.3599598419846
"ENSMAUG00000020269","Zfp11",-0.386696620583811,0.290236802950779," ",7.09291049542084,6.79520391737067,6.23872121798444,7.10923066168586,6.44509963444859,6.78360518427034,6.48482858628619,6.17057575223724
"ENSMAUG00000020270","Pkp3",-0.165382561654908,0.465641194651719," ",8.131173566236,7.97505728857201,8.01976358423153,8.11117169637991,7.69814064088293,8.10643787358629,7.9626556455107,7.81093739803438
"ENSMAUG00000020271","Zfp592",-0.22327585748759,0.369225188463054," ",8.39381613010128,8.53857466627428,8.86681148284826,8.38085018527981,8.21111406273478,8.1819757026315,8.39500105356942,8.5204445690882
"ENSMAUG00000020272","",0.401172688356386,0.129382789759689," ",8.11651356869341,8.1664088963942,7.81878477325029,8.47248264615888,8.60425505480179,8.69303652149057,8.17508170108631,8.70625907251477
"ENSMAUG00000020274","Mettl21c",-0.450365052988122,0.560368542522645," ",4.91740543006278,4.31627900154175,4.14245161041648,4.09721514503602,3.44989279953305,3.51188582432335,4.53926069630196,4.19100003008379
"ENSMAUG00000020275","Ttc19",0.189511225701741,0.683590280814841," ",6.66947267354891,6.79520391737067,6.43906391091851,7.43497606929859,7.27630793267696,7.36186978071207,6.38681796671322,7.0840193462257
"ENSMAUG00000020276","",1.01847828926305,0.000521866323125212," ",7.54556306564671,7.03754388449377,6.97888944605974,7.68019319251465,8.35846426572458,8.38741221948128,7.85680582131291,8.64825662828348
"ENSMAUG00000020277","Pigv",-0.485225045816453,0.105982848446464," ",7.94458171248976,7.68679926077449,8.27310378556438,7.7792197506227,7.5352813126282,6.90746450326995,7.78166267873905,7.4160739159065
