Geneid,REM_1,REM_2,REM_3,EIDD_1,EIDD_2,EIDD_3,EIDD_4,Control_1,Control_2,Control_3,Control_4
ENSMAUG00000003917,2741,2946,3719,703,719,522,361,427,258,752,473
ENSMAUG00000003960,4,20,10,19,15,10,57,36,60,12,48
ENSMAUG00000004002,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004012,0,0,0,26,19,7,24,23,36,16,19
ENSMAUG00000004137,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004190,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004448,62,86,73,143,190,133,62,60,37,161,79
ENSMAUG00000004491,0,0,0,0,1,0,0,0,0,0,0
ENSMAUG00000004646,0,0,4,13,9,7,3,2,2,9,3
ENSMAUG00000004723,0,0,0,0,3,0,0,0,0,0,0
ENSMAUG00000004737,32,22,10,4133,2993,2609,1342,644,374,2936,820
ENSMAUG00000004817,6,12,12,5,12,4,5,0,0,12,4
ENSMAUG00000005015,0,0,0,11,33,30,5,0,0,18,0
ENSMAUG00000005142,0,0,0,0,5,4,0,1,0,4,0
ENSMAUG00000005178,0,0,0,3,1,0,0,2,0,0,0
ENSMAUG00000005241,0,0,0,0,0,0,0,2,0,0,0
ENSMAUG00000005249,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005361,482,354,394,536,675,476,201,352,196,733,444
ENSMAUG00000005409,3811,3238,3746,939,1051,695,371,373,202,1245,449
ENSMAUG00000005660,487,505,657,116,187,126,71,61,44,203,94
ENSMAUG00000005682,0,0,0,3,5,1,0,0,0,2,2
ENSMAUG00000005757,26,15,36,20,18,23,8,14,4,28,6
ENSMAUG00000005767,2,0,0,0,2,3,0,0,0,1,2
ENSMAUG00000005795,0,0,0,4,4,0,4,0,0,0,4
ENSMAUG00000005882,1,0,2,3,10,4,2,5,2,7,1
ENSMAUG00000005976,2763,2035,1569,1814,2893,2585,765,486,307,1820,475
ENSMAUG00000006071,0,0,0,7,6,2,0,0,0,4,10
ENSMAUG00000006120,11,0,0,4,4,4,0,0,0,1,1
ENSMAUG00000006131,0,0,0,0,1,0,0,0,4,0,0
ENSMAUG00000006174,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006329,62,24,54,8,15,9,8,9,4,42,10
ENSMAUG00000006335,0,0,0,0,2,1,0,0,0,2,0
ENSMAUG00000006364,0,0,0,0,1,2,0,0,2,0,0
ENSMAUG00000006404,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006515,0,0,0,9,7,14,1,2,4,15,3
ENSMAUG00000006727,0,0,0,2,1,6,0,0,0,5,0
ENSMAUG00000006733,1734,1442,2121,332,372,231,89,218,66,449,269
ENSMAUG00000006810,877,1028,944,899,1202,953,233,212,46,1068,170
ENSMAUG00000006883,0,0,0,0,0,0,0,0,0,0,1
ENSMAUG00000006894,0,0,0,0,6,0,0,2,0,0,0
ENSMAUG00000006919,3436,2685,2572,400,377,338,192,178,85,483,149
ENSMAUG00000006938,0,0,0,7,0,7,0,0,0,1,0
ENSMAUG00000006944,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006988,0,0,0,0,0,3,2,0,0,0,0
ENSMAUG00000007049,82,14,48,31,54,49,5,9,8,83,14
ENSMAUG00000007136,0,2,0,8,8,5,2,0,2,0,0
ENSMAUG00000007212,3,0,0,259,148,109,332,556,584,183,384
ENSMAUG00000007221,0,0,0,2,0,0,0,0,0,0,0
ENSMAUG00000007288,0,0,0,0,2,0,0,0,0,0,0
ENSMAUG00000007300,0,0,0,0,8,4,0,0,2,2,2
ENSMAUG00000007301,186,511,1451,150,113,104,74,143,93,248,84
ENSMAUG00000007436,0,0,0,4,0,0,0,2,2,10,2
ENSMAUG00000007460,610,566,631,355,517,334,181,82,60,443,117
ENSMAUG00000007523,56,55,58,31,30,46,8,7,10,41,8
ENSMAUG00000007743,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007768,0,0,2,2,9,1,1,0,0,2,1
ENSMAUG00000007802,457,476,522,317,431,419,229,183,93,547,275
ENSMAUG00000007969,12833,6741,5697,995,1280,976,343,675,390,1554,768
ENSMAUG00000008064,669,109,196,89,209,90,45,182,101,217,212
ENSMAUG00000008104,2385,2221,2286,525,596,484,244,311,194,712,380
ENSMAUG00000008181,26,0,0,14,22,12,14,0,2,11,2
ENSMAUG00000008199,8274,7718,7974,2854,4404,2803,1431,1722,1342,3536,1885
ENSMAUG00000008215,1253,1036,943,988,1441,754,492,519,282,1114,600
ENSMAUG00000008261,10,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000008310,6,0,0,4,14,6,6,0,0,2,4
ENSMAUG00000008345,2128,1633,1413,1045,1159,703,583,476,227,1195,570
ENSMAUG00000008412,4945,1033,2618,1098,1157,960,443,903,526,1475,1343
ENSMAUG00000008472,1419,713,938,1370,1950,952,692,714,372,1632,1103
ENSMAUG00000008492,765,596,698,169,265,186,96,103,46,240,107
ENSMAUG00000008655,5058,5141,4521,2246,2579,1908,1045,1323,745,3258,2077
ENSMAUG00000008675,0,6,12,0,0,2,0,0,0,0,0
ENSMAUG00000008683,0,0,0,0,2,0,0,0,0,0,0
ENSMAUG00000008694,184,212,174,165,138,96,70,61,34,156,48
ENSMAUG00000008698,0,0,4,0,0,0,0,0,0,0,0
ENSMAUG00000008764,0,0,6,1,0,2,2,4,2,3,0
ENSMAUG00000008839,4012,4404,5682,980,877,1094,476,288,110,1001,347
ENSMAUG00000008859,0,0,0,2,2,0,0,0,2,1,0
ENSMAUG00000008952,619,317,471,169,168,189,46,87,32,174,103
ENSMAUG00000008989,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000009020,10295,12284,14615,8219,11166,8916,3704,2609,1224,10262,3107
ENSMAUG00000009150,0,0,0,0,0,0,0,0,0,0,2
ENSMAUG00000009155,26,24,30,52,49,62,21,17,19,56,18
ENSMAUG00000009167,16,8,37,4,17,7,10,26,10,39,100
ENSMAUG00000009173,4,0,0,12,8,1,2,0,0,16,4
ENSMAUG00000009192,4157,3112,2813,1719,2034,1206,1083,1838,1343,2650,2266
ENSMAUG00000009251,34,45,37,66,65,35,38,39,15,96,51
ENSMAUG00000009257,33554,27167,36485,11435,8642,4354,5784,4968,5993,10614,7372
ENSMAUG00000009293,251,158,220,73,162,88,43,84,78,224,168
ENSMAUG00000009307,5307,3949,5335,673,712,813,251,335,131,943,413
ENSMAUG00000009406,592,615,521,289,286,155,202,137,100,357,196
ENSMAUG00000009441,1091,1195,1499,650,765,737,348,215,112,849,279
ENSMAUG00000009458,0,4,0,0,0,0,0,0,0,4,0
ENSMAUG00000009500,712,1120,826,855,1302,837,461,343,196,1203,400
ENSMAUG00000009569,3515,1549,2160,316,563,389,226,736,296,1244,953
ENSMAUG00000009671,12,16,47,753,763,373,302,262,139,715,107
ENSMAUG00000009699,6781,6085,6439,2128,2333,1440,1412,1401,663,2822,1764
ENSMAUG00000009706,0,0,0,5,2,0,0,0,0,0,2
ENSMAUG00000009715,0,8,0,4,0,2,0,2,0,4,2
ENSMAUG00000009726,3303,2373,2811,468,540,437,245,329,213,754,342
ENSMAUG00000009749,12400,7629,9987,979,860,681,375,458,241,1125,569
ENSMAUG00000009784,1061,854,803,334,335,220,201,210,146,312,323
ENSMAUG00000009815,16,18,14,6,9,8,4,3,0,12,6
ENSMAUG00000009821,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000009945,406,435,307,311,358,287,138,69,70,346,100
ENSMAUG00000009950,321,267,295,114,203,148,52,73,44,195,68
ENSMAUG00000010031,13,10,42,35,26,13,16,11,3,24,12
ENSMAUG00000010042,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000010044,658,474,454,204,303,279,31,60,24,217,36
ENSMAUG00000010119,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000010222,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000010228,102,26,34,14,24,14,3,7,2,22,8
ENSMAUG00000010232,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000010267,56933,48585,54841,7578,12318,5780,3348,4578,2620,12210,6620
ENSMAUG00000010278,11569,5023,8767,1849,2428,1774,845,1104,694,2875,1421
ENSMAUG00000010316,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000010340,0,0,6,4,0,0,0,1,0,4,2
ENSMAUG00000010342,0,1,0,0,0,0,0,0,0,4,0
ENSMAUG00000010375,14,0,0,5,1,2,6,4,4,4,6
ENSMAUG00000010388,3635,2596,3840,1050,866,423,522,508,422,1049,820
ENSMAUG00000010439,30,12,222,496,567,310,202,144,72,551,105
ENSMAUG00000010444,24854,22197,27129,5298,6159,4583,2947,4499,2793,7932,5593
ENSMAUG00000010445,12,10,18,3,5,0,2,4,0,2,2
ENSMAUG00000010453,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000010470,22,6,22,0,0,0,0,4,0,0,2
ENSMAUG00000010474,1562,1225,1081,430,608,407,159,346,214,635,530
ENSMAUG00000010476,0,0,0,0,2,0,0,0,0,0,0
ENSMAUG00000010479,0,0,0,0,1,0,0,0,2,5,10
ENSMAUG00000010493,0,0,0,0,7,2,0,0,0,4,5
ENSMAUG00000010508,1790,1145,955,2274,2970,1727,1057,1417,730,3044,2277
ENSMAUG00000010515,32,25,45,421,399,479,172,49,24,262,29
ENSMAUG00000010535,449,369,428,114,177,170,45,82,36,236,115
ENSMAUG00000010540,108,103,75,46,86,26,23,38,22,68,48
ENSMAUG00000010598,794,539,545,150,91,144,100,68,47,223,75
ENSMAUG00000010614,42,22,36,2,4,0,0,0,2,6,0
ENSMAUG00000010628,32,47,21,220,520,127,100,226,256,380,258
ENSMAUG00000010641,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000010684,784,696,873,1180,1316,757,622,515,301,1083,671
ENSMAUG00000010692,384,674,644,582,610,543,249,328,244,671,400
ENSMAUG00000010700,0,0,0,0,0,2,0,0,0,0,0
ENSMAUG00000010706,811,887,735,427,534,346,239,351,262,559,646
ENSMAUG00000010730,20,14,10,43,40,35,30,12,8,66,29
ENSMAUG00000010744,180,192,120,8,154,27,0,30,24,25,19
ENSMAUG00000010794,2,2,22,12,35,10,12,20,18,27,32
ENSMAUG00000010829,362,312,325,169,223,123,80,85,47,205,102
ENSMAUG00000010911,25732,8572,12178,1511,2183,1197,682,4271,1497,8318,6257
ENSMAUG00000011000,1658,1300,1472,432,543,286,214,244,119,537,334
ENSMAUG00000011041,225,363,817,298,306,149,143,130,119,368,49
ENSMAUG00000011055,1670,1420,1461,590,781,742,208,239,105,694,307
ENSMAUG00000011067,0,0,0,0,4,0,0,1,0,5,2
ENSMAUG00000011100,545,451,468,436,574,408,198,256,130,578,359
ENSMAUG00000011142,14,6,29,14,17,12,6,2,4,14,18
ENSMAUG00000011169,250,242,510,188,276,194,88,96,36,299,70
ENSMAUG00000011193,629,434,482,259,253,193,98,131,110,357,191
ENSMAUG00000011254,3901,3688,3484,985,1191,668,538,475,323,1282,699
ENSMAUG00000011297,622,966,1454,1239,1396,1159,647,258,124,1264,277
ENSMAUG00000011411,2262,1802,2323,636,911,522,301,210,142,770,278
ENSMAUG00000011560,0,0,0,2,1,0,0,0,0,5,2
ENSMAUG00000011636,56,92,17,59,90,45,43,32,24,84,44
ENSMAUG00000011911,5424,4545,5780,1383,1896,1050,602,653,359,2266,790
ENSMAUG00000011916,4254,3920,5087,653,869,447,250,223,160,796,290
ENSMAUG00000011942,66,12,42,147,160,79,50,42,20,131,71
ENSMAUG00000011945,587,333,453,482,628,408,316,505,341,884,473
ENSMAUG00000012023,0,0,0,1,0,0,0,0,0,2,0
ENSMAUG00000012029,594,753,670,994,1323,871,450,208,76,981,267
ENSMAUG00000012030,1373,608,1188,650,1136,610,313,680,366,1609,711
ENSMAUG00000012050,32,0,2,0,3,0,0,0,0,2,0
ENSMAUG00000012060,0,0,0,0,3,2,2,0,2,2,2
ENSMAUG00000012062,596,577,570,378,551,457,144,99,45,467,136
ENSMAUG00000012145,0,4,8,9,55,20,12,5,0,28,19
ENSMAUG00000012202,1002,1464,1300,308,379,392,115,171,117,372,167
ENSMAUG00000012367,1498,1101,956,776,1082,756,402,505,258,1187,664
ENSMAUG00000012437,30,15,0,11,9,13,0,0,2,8,3
ENSMAUG00000012441,398,220,366,277,331,284,96,100,50,305,86
ENSMAUG00000012503,4582,3397,4069,2555,3407,2378,1020,1168,604,3322,1434
ENSMAUG00000012542,1308,994,1124,265,368,272,116,114,86,312,146
ENSMAUG00000012677,1074,1412,985,883,1243,1651,533,183,60,1542,333
ENSMAUG00000012802,0,0,0,0,0,0,0,0,0,4,0
ENSMAUG00000012849,80,64,108,94,98,46,36,5,24,66,13
ENSMAUG00000012869,1713,1892,2254,358,493,512,186,218,177,598,355
ENSMAUG00000012929,0,0,0,2,2,10,2,0,0,4,0
ENSMAUG00000012935,326,317,436,134,233,116,72,92,72,262,147
ENSMAUG00000012966,948,753,945,395,473,599,150,170,94,650,219
ENSMAUG00000012974,4160,3267,3421,1234,1312,1739,480,504,286,1763,732
ENSMAUG00000012986,2654,2161,2517,1018,937,651,533,554,471,1253,551
ENSMAUG00000012991,3279,2300,2917,1775,2120,2082,805,903,390,2562,1159
ENSMAUG00000013024,1334,1348,1245,269,313,298,149,194,110,404,338
ENSMAUG00000013027,906,1189,1166,209,622,217,157,100,46,292,120
ENSMAUG00000013247,621,757,884,272,251,233,118,124,50,328,132
ENSMAUG00000013268,2460,1734,1516,496,606,380,196,214,139,685,341
ENSMAUG00000013310,45282,37088,39257,2110,2420,2579,1089,3271,2230,4786,3753
ENSMAUG00000013326,1050,1162,1192,468,646,409,226,199,90,565,269
ENSMAUG00000013371,179,126,102,49,57,80,28,26,14,68,20
ENSMAUG00000013384,230,101,201,56,109,44,21,63,20,114,64
ENSMAUG00000013528,6,0,0,1,0,3,0,0,0,0,0
ENSMAUG00000013669,604,580,592,1896,2762,1320,1137,739,474,2229,1074
ENSMAUG00000013807,1502,1220,1226,683,950,660,334,390,170,927,527
ENSMAUG00000013852,0,8,0,0,0,0,0,0,0,0,0
ENSMAUG00000013873,6670,7076,8343,4628,5048,4278,2632,1999,1458,4827,2299
ENSMAUG00000013939,2316,2363,2420,1316,1599,1050,772,700,402,1640,946
ENSMAUG00000013948,25,18,32,49,53,44,14,20,6,44,29
ENSMAUG00000013977,75,34,44,80,99,62,40,22,10,99,38
ENSMAUG00000014058,4442,4844,5460,4626,5058,4742,3265,1214,808,4223,1688
ENSMAUG00000014108,88,139,90,73,51,34,27,32,26,67,30
ENSMAUG00000014129,518,456,316,72,95,86,32,48,40,120,69
ENSMAUG00000014138,313,514,819,458,588,324,269,248,135,520,246
ENSMAUG00000014153,2713,1797,1810,1013,1354,792,410,550,295,1230,617
ENSMAUG00000014219,687,1303,960,344,434,323,136,134,21,477,258
ENSMAUG00000014242,3702,3344,3301,1120,1465,1108,452,365,176,1458,432
ENSMAUG00000014356,2723,3178,3964,11967,18904,13613,7222,2954,1900,14054,3050
ENSMAUG00000014365,4553,3804,3330,2181,3345,1796,963,1282,758,2824,1806
ENSMAUG00000014380,2050,2356,2422,500,639,518,221,187,104,734,194
ENSMAUG00000014407,2308,1583,1812,950,1418,846,476,561,330,1466,857
ENSMAUG00000014411,2726,3504,3651,347,366,516,116,314,158,302,907
ENSMAUG00000014491,4,0,14,2,10,2,2,0,0,6,0
ENSMAUG00000014560,54,22,36,6,6,4,0,6,2,8,13
ENSMAUG00000014574,182,232,302,329,303,293,139,12,14,162,20
ENSMAUG00000014587,0,0,0,4,0,2,2,4,0,0,0
ENSMAUG00000014644,2170,1293,1438,384,491,454,137,150,109,489,292
ENSMAUG00000014800,1829,1436,1908,572,705,547,217,251,186,737,377
ENSMAUG00000014862,14,6,0,48,57,22,18,8,2,40,16
ENSMAUG00000014975,8,51,174,75,113,32,34,51,32,95,17
ENSMAUG00000014992,796,784,758,454,451,297,195,245,118,530,333
ENSMAUG00000015028,44187,40009,51353,15011,28524,19970,8181,3237,2430,15937,2751
ENSMAUG00000015029,239,247,217,157,217,134,52,62,22,158,49
ENSMAUG00000015053,42415,52877,46512,21841,41343,19409,12546,7253,4912,29313,8880
ENSMAUG00000015147,174,126,230,84,46,74,33,49,18,81,51
ENSMAUG00000015151,158,104,173,68,73,36,37,45,20,84,80
ENSMAUG00000015182,543,643,902,306,287,271,139,128,68,335,129
ENSMAUG00000015188,150,202,212,97,66,48,48,27,16,85,22
ENSMAUG00000015562,22,18,96,47,60,39,26,14,8,37,0
ENSMAUG00000015714,318,377,403,157,215,207,73,87,34,243,104
ENSMAUG00000015837,3636,4294,4124,6015,7600,5852,3158,1771,982,7080,2057
ENSMAUG00000015867,2656,2504,3230,817,1091,630,340,419,313,1069,616
ENSMAUG00000015988,3862,4015,2118,2596,3469,2895,1010,420,248,2136,519
ENSMAUG00000016472,34,28,2,22,31,22,10,4,0,36,4
ENSMAUG00000016528,690,609,586,239,268,217,87,118,75,303,167
ENSMAUG00000016592,11,4,0,32,72,23,8,9,11,29,33
ENSMAUG00000016630,923,714,714,516,676,439,175,194,75,586,247
ENSMAUG00000016878,21,22,0,13,21,10,4,3,2,9,0
ENSMAUG00000016931,41,324,13,33,71,50,11,4,2,47,20
ENSMAUG00000016987,28,16,28,6,2,8,10,4,6,4,2
ENSMAUG00000017046,403,434,408,255,341,233,82,74,34,226,37
ENSMAUG00000017063,6,2,18,0,15,0,4,0,0,0,0
ENSMAUG00000017068,149,132,128,178,257,181,90,62,20,245,85
ENSMAUG00000017135,726,606,618,311,431,240,129,198,129,423,316
ENSMAUG00000017142,472,401,446,177,227,135,105,73,52,189,121
ENSMAUG00000017203,156,175,141,135,189,139,70,46,25,138,61
ENSMAUG00000017265,277,183,176,192,327,223,92,108,84,315,122
ENSMAUG00000017273,464,574,514,313,536,390,133,179,74,480,172
ENSMAUG00000017378,1985,1783,1850,855,898,533,300,415,216,993,484
ENSMAUG00000017523,1394,1026,1172,306,436,359,126,145,97,471,246
ENSMAUG00000017652,227,242,216,94,99,60,42,76,30,104,88
ENSMAUG00000017827,26,18,26,72,92,55,30,41,15,105,52
ENSMAUG00000017890,2,6,6,1,0,2,3,0,2,0,0
ENSMAUG00000017910,0,14,12,5,9,2,1,2,0,1,3
ENSMAUG00000017927,429,300,315,99,184,86,64,195,55,322,170
ENSMAUG00000018028,300,198,219,243,338,186,135,114,116,450,120
ENSMAUG00000018315,64,76,80,39,45,57,12,28,12,52,41
ENSMAUG00000018347,3619,4931,4698,1270,1950,2112,388,172,37,1258,126
ENSMAUG00000018368,3100,1826,1507,568,698,799,234,332,156,1097,346
ENSMAUG00000018441,6,0,0,2,0,1,0,0,0,0,0
ENSMAUG00000018498,15,16,22,14,9,23,9,8,4,22,6
ENSMAUG00000018508,8215,5934,5941,1677,2329,1271,593,1559,816,3164,2823
ENSMAUG00000018539,12,6,6,12,8,36,5,10,0,20,2
ENSMAUG00000018557,114,4,64,7,10,12,2,12,6,17,22
ENSMAUG00000018640,1913,1767,1500,880,1023,686,436,435,313,1133,649
ENSMAUG00000018651,1762,1860,2562,436,1238,810,214,233,98,1199,496
ENSMAUG00000018702,556,663,188,3590,4878,2684,1585,823,356,2824,1136
ENSMAUG00000018823,240,241,210,141,136,94,46,88,60,181,149
ENSMAUG00000018960,46,56,52,122,146,74,50,64,20,125,74
ENSMAUG00000018965,8,34,10,26,10,8,8,2,0,4,2
ENSMAUG00000018989,9191,5855,7399,879,963,772,649,1407,784,1741,1906
ENSMAUG00000019006,704,584,445,281,410,262,147,239,127,393,334
ENSMAUG00000019046,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000019064,802,510,577,169,279,197,82,83,81,295,130
ENSMAUG00000019111,1431,627,631,670,1115,758,376,269,180,866,430
ENSMAUG00000019112,0,6,0,0,8,1,0,2,0,5,0
ENSMAUG00000019169,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000019191,24049,8487,11739,631,716,394,302,1194,958,1531,1773
ENSMAUG00000019270,588,646,790,852,882,598,373,255,142,724,244
ENSMAUG00000019402,1614,1232,1084,592,1009,766,313,244,114,928,323
ENSMAUG00000019459,1557,1032,1054,794,910,642,294,306,149,984,403
ENSMAUG00000019522,0,0,0,1,8,0,4,0,0,9,0
ENSMAUG00000019535,396,308,401,222,228,149,77,45,24,184,62
ENSMAUG00000019539,3622,3785,3132,2272,2705,2504,1076,712,447,2817,864
ENSMAUG00000019584,310,272,283,78,104,56,29,50,27,118,79
ENSMAUG00000019593,8,23,18,8,10,12,4,4,2,10,2
ENSMAUG00000019609,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000019620,6554,5722,5663,5284,7732,4470,2760,2696,1402,6249,3267
ENSMAUG00000019662,4,0,0,2,0,0,2,0,0,0,0
ENSMAUG00000019666,190,208,224,40,78,56,20,8,6,91,10
ENSMAUG00000019688,1187,384,790,90,96,119,57,20,22,135,36
ENSMAUG00000019792,728,741,734,440,802,604,207,276,141,752,411
ENSMAUG00000019830,543,397,676,519,695,375,293,218,140,482,222
ENSMAUG00000019871,459,308,438,178,220,197,60,76,22,206,87
ENSMAUG00000019881,315,235,228,119,144,258,87,68,66,198,79
ENSMAUG00000019933,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000019936,1370,1661,1709,366,301,280,198,153,84,429,167
ENSMAUG00000019958,1727,1759,2682,555,581,543,382,267,185,685,289
ENSMAUG00000019961,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000019977,458,240,279,50,323,62,19,185,155,189,301
ENSMAUG00000019978,0,0,8,0,2,5,0,0,0,1,0
ENSMAUG00000020014,292,322,314,158,158,146,86,74,53,194,76
ENSMAUG00000020020,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000020021,632,530,434,588,742,702,221,426,334,861,708
ENSMAUG00000020040,19,28,7,27,57,44,16,12,2,40,13
ENSMAUG00000020051,4358,2354,2492,327,610,357,145,398,186,1129,727
ENSMAUG00000020052,1310,1215,1291,370,368,269,246,230,174,546,194
ENSMAUG00000020062,1420,1064,1327,306,464,494,103,210,88,603,263
ENSMAUG00000020085,122,96,149,50,36,45,17,22,2,73,24
ENSMAUG00000020086,4409,1473,2460,294,430,389,91,584,289,992,875
ENSMAUG00000020107,12,0,0,6,29,19,0,5,0,10,18
ENSMAUG00000020111,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000020150,32,32,20,49,43,62,20,12,8,85,12
ENSMAUG00000020174,4,4,2,4,4,0,2,0,0,3,2
ENSMAUG00000020184,5473,4854,4747,1339,1290,1028,630,1247,672,2203,1596
ENSMAUG00000020213,221,250,228,174,176,174,58,46,17,207,54
ENSMAUG00000020227,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000020275,120,201,114,138,195,103,116,109,65,149,120
ENSMAUG00000020282,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000020291,88,76,36,44,68,42,31,15,6,32,21
ENSMAUG00000020297,42,41,38,18,17,8,6,2,0,15,0
ENSMAUG00000020376,3639,3027,3735,942,1185,913,409,656,392,1421,1111
ENSMAUG00000020400,126,79,106,71,141,67,23,30,38,90,80
ENSMAUG00000020454,3,10,5,42,70,49,24,16,9,84,15
ENSMAUG00000020496,0,0,0,0,8,0,2,0,0,0,2
ENSMAUG00000020548,81,122,84,42,30,22,16,8,0,26,8
ENSMAUG00000020555,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000020575,368,371,334,235,286,228,71,54,42,227,96
ENSMAUG00000020604,76,148,505,229,181,366,69,45,17,227,48
ENSMAUG00000020621,1045,1079,845,339,333,224,167,203,176,344,255
ENSMAUG00000020628,0,2,3,6,9,6,2,2,4,2,0
ENSMAUG00000020638,768,776,876,390,360,265,244,169,140,489,250
ENSMAUG00000020684,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000020704,4,48,46,12,23,6,6,6,4,7,0
ENSMAUG00000020712,0,0,0,0,2,2,0,0,0,6,2
ENSMAUG00000020727,0,0,0,8,13,5,2,0,2,8,4
ENSMAUG00000020789,38,31,20,42,81,14,8,32,35,54,56
ENSMAUG00000020826,74,32,9,27,28,18,6,5,6,31,28
ENSMAUG00000020886,0,0,0,0,0,0,0,0,0,2,0
ENSMAUG00000020919,102,160,32,8,4,12,0,2,0,6,0
ENSMAUG00000020949,4961,5314,5616,2872,3748,2653,1531,1395,579,3931,2105
ENSMAUG00000020985,2246,1869,1970,242,220,152,109,340,230,358,608
ENSMAUG00000021025,86,65,43,67,113,70,32,32,7,79,32
ENSMAUG00000021055,1735,1263,1047,1748,2651,1711,780,915,548,2156,1255
ENSMAUG00000021086,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000021165,4,8,0,3,10,0,0,8,2,6,0
ENSMAUG00000021198,2758,2468,2937,1006,1001,630,685,592,511,1163,617
ENSMAUG00000021236,3261,2998,3215,1322,1870,1462,580,1233,771,2278,2038
ENSMAUG00000021264,3,0,6,17,16,12,8,3,0,9,2
ENSMAUG00000021315,14,0,34,68,118,25,45,2,0,9,0
ENSMAUG00000021325,1393,766,924,925,1385,813,511,1232,678,2044,1862
ENSMAUG00000021358,2316,1991,1909,919,1265,1049,368,664,372,1336,1123
ENSMAUG00000021371,0,14,76,32,17,11,8,7,8,10,2
ENSMAUG00000021399,259,520,218,20,21,43,16,6,4,24,1
ENSMAUG00000021416,1683,1351,1217,717,886,616,339,421,246,1094,582
ENSMAUG00000021462,893,783,910,460,497,454,226,166,127,557,305
ENSMAUG00000021471,5041,4833,5448,1064,1063,1149,680,649,412,1655,858
ENSMAUG00000021475,12,6,42,102,76,92,27,16,12,75,4
ENSMAUG00000021496,361,232,178,74,146,162,48,50,36,171,73
ENSMAUG00000021520,419,281,306,164,233,120,69,89,39,202,118
ENSMAUG00000021541,52,118,14,46,60,42,16,6,6,66,10
ENSMAUG00000021547,3908,1535,2232,71,61,40,28,158,63,215,239
ENSMAUG00000021600,312,153,165,99,140,92,36,51,14,106,50
ENSMAUG00000021610,476,505,494,417,373,321,180,88,56,343,103
ENSMAUG00000021643,12,4,4,8,19,16,10,4,0,26,2
ENSMAUG00000021670,250,199,229,52,65,28,30,30,14,79,43
ENSMAUG00000021698,4251,2030,2299,1034,1515,995,424,1002,481,1667,1270
ENSMAUG00000021714,0,0,0,2,0,0,0,0,0,4,2
ENSMAUG00000021762,50,76,68,50,74,68,21,6,4,40,8
ENSMAUG00000021817,298,360,317,209,245,242,81,83,37,255,101
ENSMAUG00000021857,44,122,364,42,32,11,9,18,18,56,16
ENSMAUG00000021868,8131,4915,6071,369,329,435,116,217,100,453,248
ENSMAUG00000021880,2051,1752,2364,264,309,383,102,144,87,458,206
ENSMAUG00000021917,0,0,0,0,2,0,0,0,0,1,2
ENSMAUG00000021919,1920,881,1133,182,218,104,59,246,73,620,401
ENSMAUG00000021953,2520,3090,3768,2552,2939,2885,1107,695,249,3044,709
ENSMAUG00000021980,421,406,360,145,148,86,82,99,82,188,139
ENSMAUG00000021997,706,449,459,327,464,303,165,97,27,296,83
ENSMAUG00000022004,58,30,10,9,16,9,0,0,0,9,0
ENSMAUG00000022049,930,1179,1271,845,1225,1186,412,249,120,882,285
ENSMAUG00000022058,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000022062,182,670,270,45,27,28,8,8,9,41,6
ENSMAUG00000022063,0,0,2,6,3,2,0,2,2,6,4
ENSMAUG00000022064,2728,2160,1444,1099,1597,859,345,482,248,1375,712
ENSMAUG00000022065,1057,957,964,172,215,229,79,113,34,235,131
ENSMAUG00000022104,3542,3590,3299,1333,1486,1125,542,547,317,1738,761
ENSMAUG00000022123,296,199,384,216,381,327,124,185,100,451,260
ENSMAUG00000022188,41,61,52,27,32,44,5,24,14,55,35
