Geneid,REM_1,REM_2,REM_3,EIDD_1,EIDD_2,EIDD_3,EIDD_4,Control_1,Control_2,Control_3,Control_4
ENSMAUG00000003152,171,160,409,2093,2388,1508,1151,476,252,2377,453
ENSMAUG00000003173,0,0,0,0,0,0,0,0,0,0,2
ENSMAUG00000003180,127,102,118,37,28,32,4,17,14,38,14
ENSMAUG00000003192,7,12,3,0,1,1,16,12,25,2,4
ENSMAUG00000003237,0,0,0,3,4,0,0,0,0,2,4
ENSMAUG00000003238,336,428,278,283,424,225,153,174,94,405,223
ENSMAUG00000003296,0,0,0,2,2,2,0,0,0,0,0
ENSMAUG00000003385,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003401,0,2,0,0,0,0,0,0,0,0,0
ENSMAUG00000003503,0,0,0,0,0,2,0,0,0,2,0
ENSMAUG00000003507,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003510,419,586,748,475,447,360,281,96,60,435,137
ENSMAUG00000003543,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003615,0,0,0,45,43,21,9,8,1,39,8
ENSMAUG00000003631,382,554,420,105,113,63,36,60,28,105,41
ENSMAUG00000003656,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003679,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003707,162,100,94,93,380,72,48,338,280,283,437
ENSMAUG00000003750,0,12,0,19,21,7,6,10,6,19,7
ENSMAUG00000003777,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003837,12,18,24,3,12,8,0,0,0,0,7
ENSMAUG00000003846,2540,1872,2046,713,992,702,350,492,240,1097,624
ENSMAUG00000003881,0,0,14,0,2,0,0,0,0,0,0
ENSMAUG00000003890,1971,2173,1895,946,1260,1232,376,297,149,1081,286
ENSMAUG00000003899,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003911,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003915,0,0,0,0,0,1,0,0,0,2,0
ENSMAUG00000003925,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003941,334,274,347,1220,1631,1025,650,487,313,1414,582
ENSMAUG00000003947,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003977,863,599,527,999,1501,788,567,834,464,1521,1169
ENSMAUG00000004045,414,236,292,10513,14395,6557,7063,6541,2536,11627,7303
ENSMAUG00000004054,0,0,0,1,2,2,0,0,0,0,2
ENSMAUG00000004075,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004076,2,0,12,2,2,4,0,0,2,6,4
ENSMAUG00000004079,0,0,0,4,0,4,6,4,2,6,2
ENSMAUG00000004108,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004120,23366,12499,9683,2795,4116,2317,1336,1920,957,4486,2680
ENSMAUG00000004133,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004138,2,79,168,15,22,10,12,9,4,26,8
ENSMAUG00000004198,26,35,17,10,23,32,2,8,0,23,12
ENSMAUG00000004207,2165,1403,1365,872,4060,795,426,3130,2217,3043,3871
ENSMAUG00000004211,78,70,80,168,144,114,61,34,37,175,16
ENSMAUG00000004234,0,0,0,1,6,0,0,2,0,5,0
ENSMAUG00000004256,2404,2031,3642,1272,2094,497,596,4113,1446,8627,4394
ENSMAUG00000004260,642,597,496,316,310,256,156,248,254,479,320
ENSMAUG00000004294,74505,17370,43513,131,695,220,240,7413,4256,8496,11694
ENSMAUG00000004316,434,417,328,690,770,495,305,242,143,701,440
ENSMAUG00000004319,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004326,329,166,254,209,186,157,103,109,58,275,112
ENSMAUG00000004374,1500,864,1087,1320,1982,1716,562,648,290,1653,723
ENSMAUG00000004410,0,0,0,2,0,2,2,0,0,2,2
ENSMAUG00000004415,0,0,0,5,5,2,2,0,0,0,0
ENSMAUG00000004457,0,0,0,38,41,24,11,12,0,25,4
ENSMAUG00000004458,0,0,6,2,4,0,1,0,0,2,0
ENSMAUG00000004467,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004480,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004496,1493,1115,1194,602,784,446,378,304,178,803,498
ENSMAUG00000004507,16380,3586,6610,142,406,133,149,3953,1787,4659,6815
ENSMAUG00000004530,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004534,255,222,290,98,164,116,53,40,15,123,38
ENSMAUG00000004543,2258,2303,1256,82,157,123,37,203,84,521,489
ENSMAUG00000004557,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004597,0,0,0,1,5,0,0,0,0,0,0
ENSMAUG00000004621,0,0,0,15,4,6,2,4,0,4,4
ENSMAUG00000004635,0,0,0,0,0,0,0,0,0,2,0
ENSMAUG00000004651,0,4,0,7,3,0,1,1,0,1,0
ENSMAUG00000004683,575,516,563,377,498,268,187,203,117,401,272
ENSMAUG00000004729,4,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004747,1208,1414,1409,337,308,230,197,369,263,461,586
ENSMAUG00000004782,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004802,2,22,22,97,190,162,52,38,16,171,51
ENSMAUG00000004816,4,0,8,0,2,13,1,0,0,1,0
ENSMAUG00000004835,4,6,38,8,11,13,11,8,2,13,0
ENSMAUG00000004843,17,1,3,12,27,13,3,18,14,24,29
ENSMAUG00000004846,7,18,16,4,2,1,3,0,0,1,0
ENSMAUG00000004850,0,0,0,3,1,1,0,0,0,0,0
ENSMAUG00000004882,828,824,723,674,938,469,445,251,150,855,375
ENSMAUG00000004900,2,0,0,2,0,0,0,0,0,3,3
ENSMAUG00000004938,2304,2333,2235,562,733,496,324,346,175,888,464
ENSMAUG00000004967,16,2,2,0,4,0,0,2,0,2,2
ENSMAUG00000004983,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004987,18,0,0,67,98,130,23,12,13,130,25
ENSMAUG00000004988,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005005,0,0,0,0,0,0,0,0,2,0,2
ENSMAUG00000005091,622,580,476,488,664,335,244,150,94,470,164
ENSMAUG00000005116,0,0,0,0,0,2,0,0,0,0,0
ENSMAUG00000005122,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005124,2,6,0,0,0,0,0,0,0,0,0
ENSMAUG00000005145,0,10,0,327,231,267,141,107,91,383,157
ENSMAUG00000005152,0,0,0,15,35,16,14,1,0,19,13
ENSMAUG00000005192,40,63,44,7,37,25,8,0,0,15,5
ENSMAUG00000005199,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005240,0,0,0,0,0,2,0,0,0,0,0
ENSMAUG00000005242,0,0,0,663,620,448,401,225,80,541,214
ENSMAUG00000005301,0,2,0,4,2,0,4,0,0,0,0
ENSMAUG00000005304,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005337,6,0,0,10,22,5,7,4,0,27,4
ENSMAUG00000005341,0,0,0,3,2,7,2,0,3,7,10
ENSMAUG00000005363,0,0,0,2,0,2,2,0,0,5,0
ENSMAUG00000005378,135,144,74,1332,449,649,1084,742,257,948,938
ENSMAUG00000005429,1503,2122,1628,775,1185,798,400,288,152,678,399
ENSMAUG00000005464,0,0,0,2,10,3,4,2,0,4,1
ENSMAUG00000005483,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005524,0,0,0,2,0,0,0,2,0,0,0
ENSMAUG00000005548,6,0,0,2,0,0,2,4,0,0,0
ENSMAUG00000005572,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005628,8,20,16,28,69,68,22,10,6,20,12
ENSMAUG00000005665,1,2,4,2,8,4,2,6,0,7,4
ENSMAUG00000005684,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005687,0,0,0,4,5,3,0,1,0,2,0
ENSMAUG00000005723,242,319,230,294,575,276,195,112,42,406,162
ENSMAUG00000005758,0,0,0,0,4,1,0,1,0,2,0
ENSMAUG00000005761,0,0,0,0,0,2,0,4,0,0,0
ENSMAUG00000005765,0,10,10,34,43,32,19,9,0,40,23
ENSMAUG00000005843,0,0,0,8,10,4,5,1,1,0,0
ENSMAUG00000005857,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005932,16,40,14,158,213,105,81,57,10,142,138
ENSMAUG00000005956,2285,3481,4019,747,1364,1108,388,403,140,1320,571
ENSMAUG00000005961,0,0,0,3,0,0,2,6,3,0,0
ENSMAUG00000006010,6,8,20,0,1,0,0,2,4,13,10
ENSMAUG00000006017,0,0,0,0,5,5,0,0,0,0,4
ENSMAUG00000006045,533,437,543,854,1194,726,398,424,157,967,565
ENSMAUG00000006065,12,0,0,6,25,5,0,1,0,32,2
ENSMAUG00000006079,0,0,0,0,0,0,0,0,0,2,0
ENSMAUG00000006087,6,6,0,0,5,2,0,0,0,2,0
ENSMAUG00000006113,0,2,0,2,2,6,4,4,2,0,2
ENSMAUG00000006134,510,379,491,212,256,315,119,112,60,318,110
ENSMAUG00000006159,1922,1483,1431,1512,2049,1290,1181,903,604,2187,1195
ENSMAUG00000006177,1434,1203,1182,757,1148,657,374,409,232,1002,569
ENSMAUG00000006208,1330,1606,683,1349,1562,986,561,360,122,1206,485
ENSMAUG00000006221,3,0,0,0,1,0,0,0,0,0,2
ENSMAUG00000006226,0,0,0,0,2,0,0,0,0,0,0
ENSMAUG00000006255,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006262,0,2,0,2,8,2,2,2,0,8,0
ENSMAUG00000006268,945,502,556,215,305,199,136,259,118,464,385
ENSMAUG00000006271,35,84,176,0,2,0,1,0,2,2,0
ENSMAUG00000006298,0,0,2,1,0,0,0,0,0,0,0
ENSMAUG00000006316,0,0,0,2,1,0,0,0,0,0,0
ENSMAUG00000006347,832,679,735,1126,1393,950,676,231,168,1297,222
ENSMAUG00000006359,1645,1441,1853,980,1307,900,558,468,298,1246,631
ENSMAUG00000006383,223,226,167,134,240,122,61,80,34,201,147
ENSMAUG00000006384,2,0,2,1229,878,696,464,289,204,893,476
ENSMAUG00000006408,0,0,0,9,5,1,2,1,0,2,0
ENSMAUG00000006414,2942,1980,2506,464,562,373,214,552,344,1085,822
ENSMAUG00000006454,2370,2548,2581,1604,1979,1249,747,562,223,1980,730
